,class,R,G,B,C
0,blue,39090,40330,58270,139270
1,blue,39100,40350,58300,139330
2,blue,39110,40350,58300,139330
3,blue,38820,40190,58180,138790
4,blue,38890,40260,58210,138950
0,blue,38940,40230,58150,138890
1,blue,38950,40250,58180,138950
2,blue,38960,40250,58180,138960
3,blue,38950,40250,58190,138950
4,blue,38950,40250,58190,138950
0,blue,40880,40830,57790,140450
1,blue,40910,40850,57830,140500
2,blue,40970,40900,57850,140600
3,blue,40980,40910,57870,140640
4,blue,40920,40890,57860,140620
0,blue,38640,39720,57130,137200
1,blue,38620,39700,57120,137140
2,blue,38600,39700,57120,137120
3,blue,38600,39700,57120,137110
4,blue,38600,39690,57130,137130
0,yellow,62790,47170,44970,156790
1,yellow,62730,47130,44950,156790
2,yellow,62750,47130,44970,156820
3,yellow,62750,47140,44970,156810
4,yellow,62760,47140,44970,156810
0,yellow,59840,44910,44800,150230
1,yellow,59840,44900,44790,150230
2,yellow,59830,44900,44800,150230
3,yellow,59850,44910,44810,150230
4,yellow,59820,44890,44800,150210
0,yellow,62850,47150,45740,157640
1,yellow,62870,47170,45760,157670
2,yellow,62870,47180,45760,157670
3,yellow,62860,47170,45760,157660
4,yellow,62880,47190,45790,157810
0,yellow,63040,47620,46060,157880
1,yellow,63130,47680,46110,158090
2,yellow,63150,47700,46120,158120
3,yellow,63070,47660,46100,158010
4,yellow,63140,47690,46120,158110
0,green,45420,42330,45360,133030
1,green,45410,42320,45360,133030
2,green,45410,42320,45350,133030
3,green,45410,42320,45360,133030
4,green,45390,42310,45360,133020
0,green,45460,40850,44640,131010
1,green,45460,40870,44660,131050
2,green,45390,40810,44590,130740
3,green,45370,40790,44600,130850
4,green,45400,40800,44600,130890
0,green,45320,41520,45290,132100
1,green,45350,41550,45310,132180
2,green,45330,41530,45300,132150
3,green,45310,41520,45300,132120
4,green,45300,41520,45290,132100
0,green,46930,42050,45670,134010
1,green,46900,42020,45650,133920
2,green,46820,41970,45590,133750
3,green,46790,41960,45570,133710
4,green,46850,41990,45610,133820
0,orange,63880,39230,43890,147240
1,orange,63920,39280,43940,147410
2,orange,63890,39260,43920,147330
3,orange,63920,39270,43930,147360
4,orange,63890,39260,43920,147300
0,orange,63300,38910,43650,146750
1,orange,63270,38890,43630,146680
2,orange,63310,38920,43660,146800
3,orange,63270,38910,43650,146760
4,orange,63320,38930,43670,146800
0,orange,60920,38100,43280,142900
1,orange,60960,38120,43290,142980
2,orange,60990,38140,43310,143010
3,orange,60960,38130,43300,142990
4,orange,60950,38120,43300,142970
0,orange,59610,37840,43070,141410
1,orange,59600,37830,43070,141410
2,orange,59600,37830,43060,141390
3,orange,59590,37830,43070,141390
4,orange,59600,37830,43070,141390
0,blue,41550,41800,59720,143840
1,blue,41550,41800,59720,143830
2,blue,41540,41790,59700,143800
3,blue,41560,41790,59690,143810
4,blue,41640,41830,59710,143890
0,red,45910,31260,39250,117070
1,red,45880,31240,39240,117030
2,red,45880,31230,39240,117020
3,red,45880,31240,39240,117020
4,red,45850,31220,39220,116960
0,red,48880,33020,40800,122560
1,red,48860,33020,40790,122520
2,red,48890,33010,40800,122540
3,red,48860,33010,40800,122520
4,red,48860,33010,40790,122500
0,red,47730,32500,40270,120750
1,red,47600,32420,40160,120540
2,red,47580,32410,40140,120460
3,red,47570,32410,40140,120450
4,red,47560,32390,40120,120390
0,red,47860,31230,39250,118210
1,red,47930,31290,39300,118450
2,red,47920,31280,39320,118480
3,red,47970,31330,39360,118620
4,red,47940,31310,39340,118550
0,white,38580,31190,37920,109720
1,white,38600,31210,37950,109790
2,white,38610,31200,37920,109760
3,white,38600,31200,37930,109760
4,white,38620,31210,37930,109680
0,white,38370,30990,37640,109000
1,white,38400,31030,37700,109180
2,white,38400,31030,37720,109180
3,white,38760,31340,38100,110260
4,white,38770,31350,38110,110280
0,white,31630,26170,32410,92530
1,white,32170,26890,33650,96780
2,white,33680,27950,34610,98140
3,white,32700,27670,34250,97080
4,white,33430,27640,33900,96090
0,white,37900,30570,37100,107260
1,white,35430,28080,33960,96710
2,white,35430,28450,34470,99960
3,white,35210,28240,34260,99360
4,white,34540,27790,34770,101700
